OBJECTID,DCH_FEA_KEY,DCH_GRPH_KEY,DCH_FEATYPE_TEXT,DCH_OWNER_NAME,DCH_PRBL_FLOW_TYPE,DCH_MATERIAL_TYPE,DCH_PIPE_SHP_TEXT,DCH_LIFECYCLE_STAT,DCH_DSTNTN_TYPE,DCH_INSPECT_FLAG,DCH_CASING_FLAG,DCH_PERF_PIPE_FLAG,DCH_LENGTH_FT_NBR,DCH_WIDTH_IN_NBR,DCH_HEIGHT_IN_NBR,DCH_UPS_ELEV_FT_NBR,DCH_DNS_ELEV_FT_NBR,DCH_INSTALL_DATE,DCH_LST_UPDT_DATE,DCH_STREAM_NAME,DCH_GSIP_NAME,SHAPE_Length
73812,8121768,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,11.95,4,4,,,2017/11/28 15:43:17+00,2020/01/14 00:00:00+00,,,11.9494931309753
73813,8121770,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.93,4,4,,,2017/11/28 15:43:17+00,2020/01/14 00:00:00+00,,,9.93080278622485
73816,8121806,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,10.85,4,4,,,2018/08/02 16:05:08+00,2020/01/14 00:00:00+00,,,10.8510674359929
73817,8121848,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,16.05,4,4,,,2018/05/24 08:34:24+00,2020/01/15 00:00:00+00,,,16.048557783473
73818,8121850,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,12.73,4,4,,,2018/05/24 08:34:24+00,2020/01/15 00:00:00+00,,,12.7333981217194
73825,8121884,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,9.23,4,4,,,2018/05/25 08:34:24+00,2020/01/15 00:00:00+00,,,9.23174522557123
73840,8122049,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.15,4,4,,,2018/05/23 08:34:24+00,2020/01/15 00:00:00+00,,,8.15166595862545
73841,8122051,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.08,4,4,,,2018/05/23 08:34:24+00,2020/01/15 00:00:00+00,,,8.07603148939614
73842,8122138,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,11.98,4,4,,,2018/06/20 08:34:24+00,2020/01/15 00:00:00+00,,,11.9792749365645
73844,8122168,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,7.79,,,,,2018/06/01 09:00:11+00,2020/01/15 00:00:00+00,,,7.78952463096813
73845,8122173,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,17.42,,,,,2018/06/01 09:00:11+00,2020/01/15 00:00:00+00,,,17.4230653885634
73850,8122233,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,7.46,,,,,2018/06/27 08:34:24+00,2020/01/15 00:00:00+00,,,7.46382142843279
73851,8122235,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,10.56,4,4,,,2018/06/27 08:34:24+00,2020/01/15 00:00:00+00,,,10.5639427376199
73852,8122237,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,8.61,4,4,,,2018/06/27 08:34:24+00,2020/01/15 00:00:00+00,,,8.60537886171983
73853,8122239,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,12.14,4,4,,,2018/06/27 08:34:24+00,2020/01/15 00:00:00+00,,,12.1374759178923
73854,8122322,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,10.95,,,,,2018/06/25 08:34:24+00,2020/01/15 00:00:00+00,,,10.9478975004829
73855,8122323,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,10.23,,,,,2018/06/25 08:34:24+00,2020/01/15 00:00:00+00,,,10.2261384337643
73856,8122324,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,10.76,,,,,2018/06/25 08:34:24+00,2020/01/15 00:00:00+00,,,10.7558353662878
73859,8122347,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,6.2,4,4,,,2018/08/01 09:00:11+00,2020/01/15 00:00:00+00,,,6.20178223195372
73860,8122349,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,5.21,4,4,,,2018/08/01 09:00:11+00,2020/01/15 00:00:00+00,,,5.20872667602296
73861,8122362,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.87,4,4,,,2018/08/01 09:00:11+00,2020/01/15 00:00:00+00,,,2.86559607487529
73862,8122364,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,2.11,4,4,,,2018/08/01 09:00:11+00,2020/01/15 00:00:00+00,,,2.10527604273298
73867,8122450,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Rectangular,Connected,,Y,N,N,7.94,4,4,,,2018/12/18 14:51:06+00,2020/01/15 00:00:00+00,,,7.94023031045686
73868,8122543,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,25.43,6,6,,,2018/03/29 08:34:24+00,2020/01/16 00:00:00+00,,,25.4268487340939
73873,8122621,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.76,4,4,,,2018/06/20 08:34:24+00,2020/01/16 00:00:00+00,,,14.7559382599908
73874,8122623,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,14.12,4,4,,,2018/06/20 08:34:24+00,2020/01/16 00:00:00+00,,,14.1192035444565
73875,8122627,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,3.57,,,,,2018/06/20 08:34:24+00,2020/01/16 00:00:00+00,,,3.56630274126912
73876,8122662,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,11.31,4,4,,,2018/06/27 08:34:24+00,2020/01/16 00:00:00+00,,,11.3125794312744
73879,8122734,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,27.85,4,4,,,2018/06/21 08:34:24+00,2020/01/16 00:00:00+00,,,27.849529624702
73880,8122782,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,7.78,,,,,2018/06/22 08:34:24+00,2020/01/16 00:00:00+00,,,7.77810198021152
73881,8122783,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,2.72,,,,,2018/06/22 08:34:24+00,2020/01/16 00:00:00+00,,,2.71630284079613
73882,8122851,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,14.02,,,,,2018/08/13 11:17:20+00,2020/01/16 00:00:00+00,,,14.0220746040437
73886,8122884,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,21.97,4,4,,,2018/06/25 08:34:24+00,2020/01/16 00:00:00+00,,,21.9685224710912
73887,8122937,0,Rain Garden,Private,Drainage,Vegetation,Unknown,Connected,,Y,N,N,4.84,,,,,2018/06/25 08:34:24+00,2020/01/16 00:00:00+00,,,4.84353270097094
73888,8122944,0,Rain Garden,Private,Drainage,Unknown,Rectangular,Connected,,Y,N,N,7.9,,,,,2018/08/13 11:17:20+00,2020/01/21 00:00:00+00,,,7.90123604587444
73891,8123022,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,N,13.46,4,4,,,2018/12/21 08:34:24+00,2020/01/16 00:00:00+00,,,13.461849223486
73894,8123035,0,Under Drain,Private,Drainage,Polyvinyl Chloride,Circular,Connected,,Y,N,Y,18.87,4,4,,,2018/12/21 08:34:24+00,2020/01/16 00:00:00+00,,,18.8697224679099
